1::=::生成markdown思维导图::=::请基于 [主题内容] 生成markdown格式的思维导图，确保思维导图结构清晰，层次分明，节点内容准确且全面，能够有效地呈现主题的核心要点和逻辑关系。{::}
1::=::生成MindManager思维导图::=::请基于 [主题内容] 生成MindManager格式的思维导图，要求思维导图布局合理，节点之间的关联明确，能够准确传达主题的关键信息。{::}
1::=::生成FreeMind思维导图::=::请基于 [主题内容] 生成FreeMind格式的思维导图，思维导图应具备良好的可读性和可扩展性，能够方便地进行编辑和修改。{::}
1::=::创意构思 - 头脑风暴辅助::=::在进行创意构思的头脑风暴时，用于记录和整理参会人员提出的各种想法。以一个新产品的创意发想为例，参会者提出如产品功能创新点、外观设计灵感、目标用户群体特征等各种碎片化的想法，通过思维导图，将这些想法以主题和分支的形式清晰呈现，便于梳理思路、发现想法之间的联系，从而进一步激发更多创意。{::}
1::=::项目规划 - 项目流程梳理::=::在项目规划阶段，帮助项目经理和团队成员梳理项目流程。比如在软件开发项目中，以项目启动为中心主题，分支展开需求分析、设计、编码、测试、部署等各个阶段，每个阶段再细分具体任务，如需求分析下分用户调研、需求文档撰写等，清晰展示项目的整体框架和各个环节的先后顺序，方便团队成员理解项目全貌，合理安排工作进度。{::}
1::=::学习辅助 - 课程知识总结::=::学生在学习过程中，用于总结课程知识。例如学习历史课程时，以历史时期为中心主题，分支列出该时期的政治、经济、文化、科技等方面的重要事件和发展情况。通过这种方式，将教材中零散的知识点串联起来，形成系统的知识体系，有助于学生理解和记忆，提高学习效率。{::}
1::=::会议管理 - 会议纪要整理::=::在会议结束后，用于整理会议纪要。以会议主题为中心，按照会议讨论的顺序，将各个议题作为分支，分支下记录相关的讨论内容、达成的共识、待办事项等。这样的思维导图形式的会议纪要，相比于传统文字记录，更加直观清晰，方便参会人员回顾会议内容，跟进待办事项。{::}
1::=::写作构思 - 文章大纲构建::=::在写作之前，帮助作者构建文章大纲。例如写一篇议论文时，以文章主题为中心，围绕主题展开分论点作为分支，每个分论点下再细分论据和论证思路。通过思维导图，可以快速梳理文章的结构，明确各部分之间的逻辑关系，使文章条理清晰、论证有力。{::}
1::=::时间管理 - 任务计划安排::=::在进行时间管理时，规划每日、每周或每月的任务计划。以一周时间为中心主题，按每天划分分支，每个分支下再列出当天的任务事项，并按照重要程度和紧急程度进行排序。这样可以直观地看到一周内的任务分布情况，合理分配时间和精力，确保重要任务优先完成。{::}
1::=::读书笔记 - 书籍内容梳理::=::在阅读书籍后，用于梳理书籍内容。比如阅读一本管理学的书籍，以书籍主题为中心，根据书籍的章节结构，将各个章节的核心观点作为分支，分支下再细分重要的理论、案例等。通过制作思维导图，读者可以快速回顾书籍的主要内容，加深对书籍的理解和记忆，也便于后续查阅和复习。{::}
1::=::市场调研 - 竞品分析呈现::=::在进行市场调研和竞品分析时，以竞品分析为中心主题，将各个竞品作为分支，每个分支下对比分析产品功能、价格、市场份额、用户评价等方面的情况。通过思维导图，能够清晰地展示各竞品之间的优势和劣势，为企业制定市场策略提供参考依据。{::}
1::=::技术路线图 - 产品技术演进规划::=::在产品研发过程中，以产品为核心主题，展示产品在不同阶段所采用的技术架构、技术选型以及技术升级路径。例如一款移动应用产品，在初期以敏捷开发方法搭建基础框架，采用成熟的开源技术如React Native进行跨平台开发，满足快速上线的需求；随着用户量增长，在性能优化阶段引入Flutter提升性能，对数据库进行分布式改造；到了功能拓展阶段，接入人工智能技术实现个性化推荐等新功能。通过这样的思维导图技术路线图，团队成员可以明确技术发展方向，合理安排技术研发资源，保障产品的持续迭代和竞争力。{::}
1::=::技术路线图 - 技术项目实施指引::=::针对技术项目，如建设一个大数据平台项目，以项目目标为中心，围绕数据采集、存储、处理、分析和可视化等关键环节规划技术路线。数据采集环节，根据数据源的不同（如传感器数据、业务系统数据等）选择合适的采集工具和技术；数据存储阶段，依据数据规模和读写需求确定使用Hadoop分布式文件系统或关系型数据库；数据处理运用MapReduce、Spark等技术进行分布式计算；数据分析采用机器学习算法进行数据挖掘；可视化选择Tableau、PowerBI等工具。该思维导图技术路线图为项目实施团队提供详细的技术指引，确保项目按照既定技术方案有序推进。{::}
